"filename", "language", "JSON", "JavaScript", "Database", "CSS", "Handlebars", "comment", "blank", "total"
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\authentification.js", "JavaScript", 0, 40, 0, 0, 0, 0, 12, 52
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\middlewareSse.js", "JavaScript", 0, 35, 0, 0, 0, 15, 9, 59
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\model\connexion.js", "JavaScript", 0, 99, 0, 0, 0, 11, 15, 125
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\model\methodeServeur.js", "JavaScript", 0, 176, 0, 0, 0, 0, 69, 245
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\model\utilisateur.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 4
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\package-lock.json", "JSON", 4367, 0, 0, 0, 0, 0, 1, 4368
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\package.json", "JSON", 33, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\css\general.css", "CSS", 0, 0, 0, 73, 0, 0, 19, 92
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\css\normalize.css", "CSS", 0, 0, 0, 146, 0, 159, 74, 379
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\css\style.css", "CSS", 0, 0, 0, 59, 0, 0, 13, 72
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\accept-cookie.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\accueil.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\admin.js", "JavaScript", 0, 230, 0, 0, 0, 11, 63, 304
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\compte.js", "JavaScript", 0, 36, 0, 0, 0, 0, 15, 51
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\connexion.js", "JavaScript", 0, 55, 0, 0, 0, 5, 10, 70
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\cours.js", "JavaScript", 0, 34, 0, 0, 0, 0, 13, 47
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\inscription.js", "JavaScript", 0, 84, 0, 0, 0, 16, 15, 115
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\methode-commune.js", "JavaScript", 0, 83, 0, 0, 0, 3, 36, 122
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\server.js", "JavaScript", 0, 262, 0, 0, 0, 19, 57, 338
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\systeme.db", "Database", 0, 0, 76, 0, 0, 0, 2, 78
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\validationAjoutCours.js", "JavaScript", 0, 29, 0, 0, 0, 8, 11, 48
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\validationInscription.js", "JavaScript", 0, 22, 0, 0, 0, 22, 10, 54
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\accueil.handlebars", "Handlebars", 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\admin.handlebars", "Handlebars", 0, 0, 0, 0, 162, 2, 14, 178
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\compte.handlebars", "Handlebars", 0, 0, 0, 0, 32, 0, 0, 32
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\connexion.handlebars", "Handlebars", 0, 0, 0, 0, 38, 5, 6, 49
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\cours.handlebars", "Handlebars", 0, 0, 0, 0, 31, 0, 1, 32
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\inscription.handlebars", "Handlebars", 0, 0, 0, 0, 43, 6, 7, 56
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\layouts\main.handlebars", "Handlebars", 0, 0, 0, 0, 41, 0, 11, 52
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\partials\footer.handlebars", "Handlebars", 0, 0, 0, 0, 16, 0, 0, 16
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\partials\header.handlebars", "Handlebars", 0, 0, 0, 0, 40, 0, 4, 44
"Total", "-", 4400, 1197, 76, 278, 417, 286, 495, 7149
